,Date,Exchange Rate
0,2022-11-30,755.717
1,2022-11-29,773.201
2,2022-11-28,773.201
3,2022-11-27,773.201
4,2022-11-26,773.201
5,2022-11-25,768.46
6,2022-11-24,770.823
7,2022-11-23,747.269
8,2022-11-22,776.194
9,2022-11-21,761.456
10,2022-11-20,761.456
11,2022-11-19,761.456
12,2022-11-18,761.456
13,2022-11-17,776.194
14,2022-11-16,782.861
15,2022-11-15,766.111
16,2022-11-14,769.049
17,2022-11-13,671.691
18,2022-11-12,711.732
19,2022-11-11,715.286
20,2022-11-10,808.754
21,2022-11-09,817.993
22,2022-11-08,850.618
23,2022-11-07,872.84
24,2022-11-06,868.303
25,2022-11-05,868.303
26,2022-11-04,868.303
27,2022-11-03,848.458
28,2022-11-02,816.661
29,2022-11-01,794.021
30,2022-10-31,784.699
31,2022-10-30,764.359
32,2022-10-29,764.359
33,2022-10-28,764.359
34,2022-10-27,756.858
35,2022-10-26,752.88
36,2022-10-25,752.88
37,2022-10-24,741.192
38,2022-10-23,741.192
39,2022-10-22,741.192
40,2022-10-21,736.294
41,2022-10-20,733.601
42,2022-10-19,731.46
43,2022-10-18,731.46
44,2022-10-17,725.638
45,2022-10-16,724.589
46,2022-10-15,724.589
47,2022-10-14,724.589
48,2022-10-13,721.461
49,2022-10-12,716.82
50,2022-10-11,716.82
51,2022-10-10,716.82
52,2022-10-09,716.82
53,2022-10-08,716.82
54,2022-10-07,716.82
55,2022-10-06,723.543
56,2022-10-05,723.543
57,2022-10-04,705.722
58,2022-10-03,723.543
59,2022-10-02,723.543
60,2022-10-01,723.543
61,2022-09-30,723.543
62,2022-09-29,720.942
63,2022-09-28,720.942
64,2022-09-27,711.732
65,2022-09-26,707.215
66,2022-09-25,707.215
67,2022-09-24,707.215
68,2022-09-23,707.215
69,2022-09-22,701.771
70,2022-09-21,698.837
71,2022-09-20,696.894
72,2022-09-19,696.894
73,2022-09-18,696.894
74,2022-09-17,696.894
75,2022-09-16,695.444
76,2022-09-15,695.444
77,2022-09-14,693.042
78,2022-09-13,693.042
79,2022-09-12,693.042
80,2022-09-11,693.042
81,2022-09-10,693.042
82,2022-09-09,693.042
83,2022-09-08,693.042
84,2022-09-07,691.131
85,2022-09-06,691.131
86,2022-09-05,689.231
87,2022-09-04,689.231
88,2022-09-03,689.231
89,2022-09-02,689.231
90,2022-09-01,689.231
91,2022-08-31,689.231
92,2022-08-30,689.231
93,2022-08-29,689.231
94,2022-08-28,689.231
95,2022-08-27,689.231
96,2022-08-26,689.231
97,2022-08-25,677.59
98,2022-08-24,683.128
99,2022-08-22,676.219
100,2022-08-21,676.219
101,2022-08-20,676.219
102,2022-08-19,673.495
103,2022-08-18,669.896
104,2022-08-17,669.896
105,2022-08-16,673.948
106,2022-08-15,673.948
107,2022-08-14,670.792
108,2022-08-13,670.792
109,2022-08-12,666.779
110,2022-08-11,666.779
111,2022-08-10,658.895
112,2022-08-09,658.895
113,2022-08-08,652.042
114,2022-08-07,652.042
115,2022-08-06,652.042
116,2022-08-05,637.132
117,2022-08-04,652.466
118,2022-08-03,652.466
119,2022-08-02,684.527
120,2022-08-01,681.735
121,2022-07-31,681.735
122,2022-07-30,696.894
123,2022-07-29,676.219
124,2022-07-28,676.219
125,2022-07-27,652.042
126,2022-07-26,652.042
127,2022-07-25,652.042
128,2022-07-24,652.042
129,2022-07-23,652.042
130,2022-07-22,635.921
131,2022-07-21,623.665
132,2022-07-20,618.665
133,2022-07-19,608.903
134,2022-07-18,608.903
135,2022-07-17,608.903
136,2022-07-16,608.903
137,2022-07-15,607.061
138,2022-07-14,607.061
139,2022-07-13,607.061
140,2022-07-12,607.061
141,2022-07-11,607.061
142,2022-07-10,607.061
143,2022-07-09,607.061
144,2022-07-08,607.061
145,2022-07-07,607.061
146,2022-07-06,607.061
147,2022-07-05,607.061
148,2022-07-04,607.061
149,2022-07-03,607.061
150,2022-07-02,607.061
151,2022-07-01,607.061
152,2022-06-30,607.061
153,2022-06-29,607.061
154,2022-06-28,599.086
155,2022-06-27,599.086
156,2022-06-26,599.086
157,2022-06-25,599.086
158,2022-06-24,599.086
159,2022-06-23,599.086
160,2022-06-22,599.086
161,2022-06-21,599.086
162,2022-06-20,599.086
163,2022-06-19,599.086
164,2022-06-18,599.086
165,2022-06-17,599.086
166,2022-06-16,599.086
167,2022-06-15,596.593
168,2022-06-14,594.12
169,2022-06-13,594.12
170,2022-06-12,594.12
171,2022-06-11,594.12
172,2022-06-10,594.12
173,2022-06-09,594.12
174,2022-06-08,594.12
175,2022-06-07,594.12
176,2022-06-06,594.12
177,2022-06-05,594.12
178,2022-06-04,594.12
179,2022-06-03,594.12
180,2022-06-02,594.12
181,2022-06-01,599.086
182,2022-05-31,599.086
183,2022-05-30,599.086
184,2022-05-29,599.086
185,2022-05-28,599.086
186,2022-05-27,595.53
187,2022-05-26,595.53
188,2022-05-25,595.53
189,2022-05-24,595.53
190,2022-05-23,594.12
191,2022-05-22,594.12
192,2022-05-21,590.275
193,2022-05-20,590.275
194,2022-05-19,590.275
195,2022-05-18,590.275
196,2022-05-17,590.275
197,2022-05-16,590.275
198,2022-05-15,590.275
199,2022-05-14,590.275
200,2022-05-13,590.275
201,2022-05-12,590.275
202,2022-05-11,587.166
203,2022-05-10,587.166
204,2022-05-09,583.411
205,2022-05-08,583.411
206,2022-05-07,583.411
207,2022-05-06,583.411
208,2022-05-05,582.395
209,2022-05-04,581.383
210,2022-05-03,581.383
211,2022-05-02,581.383
212,2022-05-01,581.383
213,2022-04-30,581.383
214,2022-04-29,577.369
215,2022-04-28,577.369
216,2022-04-27,577.369
